1769,1000,26,963,2,
1771,563,23,,0,
1773,398,7,456,2,
1775,108,107631,106,44510,
1777,118,146838,113,121807,
1779,2,95491,2,212490,
1781,37,501,,0,
1783,42,64771,44,80731,
1785,153,16,14,1,
1791,198,11,,0,
1793,54,2002,,0,
1794,394,164,436,10,
1823,78,116,71,9,
1831,50,7,32,1,
1833,123,23,70,2,
1835,229,16,226,14,
1837,69,27,4,6,
1854,69,475,30,441,
1885,780,105,760,22,
1887,199,31,100,8,
1891,159,147,151,3063,
1897,168,421,152,55,
1905,63,87,,0,
1907,92,26,91,52,
1909,964,25,946,1,
1911,458,8,314,1,
1913,75,23,71,8,
1917,69,8884,67,5,
1919,125,134,120,1050,
1921,57,62,,0,
1923,16,12670,15,14,
1925,6,3881,6,9041,
1927,25,13303,,0,
1929,38,1577,38,112,
1931,4,9504,5,15118,
1933,71,39070,70,6451,
1935,3,4727,4,13054,
1937,30,163356,23,17937,
1939,9,138104,9,68089,
1941,3,82420,2,3876,
1942,32,18,31,1314,
1944,22,48,20,10549,
1947,13,111,12,55,
1949,307,48,258,12,
1951,31,2453,23,224,
1953,173,1503,184,108,
